Ultralytics YOLOv8n summary: 225 layers, 3157200 parameters
Image sizes 640 train, 640 val
Optimizer: 'optimizer=SGD(lr=0.01, momentum=0.937)'
Starting training for 50 epochs...

      Epoch    GPU_mem   box_loss   cls_loss   dfl_loss  Instances       Size
       1/50      2.34G      2.345      3.456      1.234         12        640
       2/50      2.34G      2.123      3.123      1.187         12        640
       3/50      2.35G      1.987      2.876      1.156         15        640
       5/50      2.35G      1.743      2.543      1.098         14        640
       8/50      2.36G      1.534      2.234      1.056         16        640
      10/50      2.36G      1.378      1.987      1.023         13        640

                 Class     Images  Instances      Box(P          R      mAP50  mAP50-95)
                   all       5000      12345      0.312      0.287      0.298      0.167

      15/50      2.37G      1.187      1.712      0.987         14        640
      20/50      2.38G      1.023      1.487      0.956         15        640

                   all       5000      12345      0.423      0.398      0.412      0.234

      25/50      2.38G      0.912      1.312      0.923         13        640
      30/50      2.39G      0.823      1.178      0.898         14        640

                   all       5000      12345      0.523      0.498      0.512      0.312

      35/50      2.39G      0.745      1.067      0.876         15        640
      40/50      2.40G      0.678      0.967      0.854         13        640

                   all       5000      12345      0.612      0.587      0.601      0.389

      45/50      2.40G      0.621      0.887      0.834         14        640
      50/50      2.41G      0.578      0.823      0.819         12        640

                   all       5000      12345      0.678      0.645      0.663      0.434

50 epochs completed in 1.234 hours.
